iter	Passed	Remaining
415	2790	3917
416	2796	3909
417	2802	3902
418	2808	3895
419	2815	3888
420	2822	3881
421	2828	3874
422	2834	3866
423	2841	3859
424	2847	3852
425	2853	3845
426	2860	3838
427	2866	3831
428	2873	3825
429	2880	3818
430	2887	3811
431	2893	3804
432	2900	3797
433	2907	3791
434	2913	3784
435	2919	3776
436	2925	3769
437	2931	3761
438	2937	3754
439	2944	3747
440	2950	3740
441	2957	3733
442	2964	3726
443	2970	3719
444	2976	3712
445	2982	3705
446	2989	3698
447	2995	3691
448	3002	3684
449	3008	3676
450	3014	3669
451	3020	3662
452	3026	3654
453	3033	3647
454	3039	3640
455	3045	3633
456	3052	3626
457	3058	3619
458	3065	3613
459	3072	3606
460	3079	3600
461	3086	3593
462	3092	3587
463	3099	3580
464	3105	3572
465	3111	3565
466	3117	3557
467	3123	3550
468	3129	3543
469	3136	3536
470	3142	3529
471	3148	3522
472	3155	3515
473	3161	3508
474	3167	3501
475	3173	3493
476	3180	3486
477	3186	3479
478	3192	3472
479	3198	3465
480	3205	3458
481	3212	3452
482	3219	3446
483	3225	3438
484	3231	3431
485	3238	3424
486	3244	3417
487	3250	3410
488	3257	3403
489	3263	3396
490	3269	3389
491	3275	3381
492	3281	3374
493	3287	3367
494	3294	3360
495	3300	3353
496	3306	3346
497	3313	3339
498	3318	3332
499	3325	3325
500	3331	3318
501	3337	3311
502	3343	3303
503	3350	3296
504	3357	3291
505	3364	3284
506	3371	3278
507	3377	3270
508	3383	3263
509	3389	3256
510	3395	3249
511	3401	3242
512	3408	3235
513	3415	3229
514	3421	3222
515	3427	3215
516	3434	3208
517	3440	3201
518	3446	3194
519	3452	3186
520	3458	3179
521	3464	3172
522	3471	3166
523	3477	3159
524	3484	3152
525	3491	3146
526	3497	3139
527	3503	3132
528	3511	3126
529	3518	3119
530	3524	3113
531	3531	3106
532	3537	3099
533	3543	3092
534	3549	3085
535	3556	3078
536	3562	3071
537	3568	3064
538	3575	3058
539	3581	3051
540	3588	3044
541	3594	3037
542	3600	3029
543	3606	3023
544	3612	3016
545	3619	3009
546	3625	3002
547	3632	2995
548	3638	2989
549	3644	2982
550	3651	2975
551	3658	2969
552	3664	2961
553	3670	2954
554	3676	2948
555	3682	2941
556	3689	2934
557	3695	2927
558	3701	2919
559	3707	2913
560	3714	2906
561	3720	2899
562	3726	2892
563	3733	2885
564	3739	2879
565	3746	2872
566	3752	2865
567	3758	2858
568	3764	2851
569	3770	2844
570	3777	2837
571	3783	2831
572	3789	2824
573	3795	2817
574	3802	2810
575	3809	2804
576	3815	2797
577	3821	2790
578	3827	2783
579	3834	2776
580	3840	2769
581	3847	2763
582	3854	2756
583	3860	2749
584	3866	2742
585	3872	2735
586	3878	2729
587	3885	2722
588	3891	2715
589	3897	2708
590	3904	2702
591	3910	2695
592	3917	2688
593	3923	2681
594	3929	2674
595	3936	2668
596	3942	2661
597	3949	2654
598	3955	2648
599	3961	2641
600	3967	2634
601	3973	2626
602	3979	2620
603	3986	2613
604	3992	2606
605	3998	2599
606	4005	2593
607	4011	2586
608	4017	2579
609	4023	2572
610	4030	2565
611	4036	2558
612	4042	2551
613	4048	2545
614	4054	2538
615	4061	2531
616	4067	2525
617	4073	2518
618	4080	2511
619	4087	2504
620	4094	2498
621	4100	2492
622	4107	2485
623	4113	2478
624	4119	2471
625	4126	2465
626	4132	2458
627	4138	2451
628	4144	2444
629	4151	2437
630	4157	2431
631	4163	2424
632	4170	2417
633	4176	2410
634	4182	2404
635	4189	2397
636	4195	2390
637	4201	2383
638	4208	2377
639	4214	2370
640	4220	2363
641	4227	2357
642	4233	2350
643	4240	2344
644	4246	2337
645	4253	2330
646	4259	2324
647	4266	2317
648	4273	2311
649	4279	2304
650	4286	2297
651	4292	2291
652	4299	2284
653	4306	2278
654	4312	2271
655	4319	2265
656	4325	2258
657	4332	2251
658	4339	2245
659	4345	2238
660	4352	2232
661	4358	2225
662	4365	2218
663	4372	2212
664	4379	2206
665	4385	2199
666	4392	2192
667	4399	2186
668	4406	2180
669	4412	2173
670	4419	2166
671	4425	2160
672	4431	2153
673	4438	2146
674	4444	2139
675	4451	2133
676	4457	2126
677	4464	2120
678	4471	2113
679	4477	2106
680	4483	2099
681	4489	2093
682	4495	2086
683	4501	2079
684	4508	2073
685	4515	2066
686	4521	2060
687	4528	2053
688	4534	2046
689	4540	2039
690	4546	2033
691	4553	2026
692	4558	2019
693	4565	2012
694	4571	2006
695	4577	1999
696	4583	1992
697	4589	1985
698	4596	1979
699	4603	1972
700	4609	1966
701	4615	1959
702	4622	1952
703	4628	1946
704	4634	1939
705	4641	1932
706	4647	1926
707	4654	1919
708	4660	1912
709	4667	1906
710	4673	1899
711	4679	1892
712	4685	1886
713	4692	1879
714	4697	1872
715	4704	1865
716	4710	1859
717	4716	1852
718	4723	1845
719	4729	1839
720	4735	1832
721	4740	1825
722	4746	1818
723	4753	1812
724	4759	1805
725	4765	1798
726	4771	1791
727	4777	1785
728	4784	1778
729	4789	1771
730	4796	1764
731	4802	1758
732	4809	1751
733	4815	1744
734	4821	1738
735	4827	1731
736	4833	1724
737	4839	1717
738	4845	1711
739	4851	1704
740	4858	1698
741	4864	1691
742	4871	1684
743	4877	1678
744	4884	1671
745	4890	1665
746	4897	1658
747	4903	1652
748	4909	1645
749	4916	1638
750	4923	1632
751	4929	1625
752	4935	1618
753	4941	1612
754	4948	1605
755	4955	1599
756	4962	1592
757	4968	1586
758	4974	1579
759	4980	1572
760	4986	1566
761	4992	1559
762	4998	1552
763	5005	1546
764	5011	1539
765	5017	1532
766	5024	1526
767	5030	1519
768	5037	1513
769	5043	1506
770	5050	1500
771	5056	1493
772	5063	1486
773	5069	1480
774	5076	1473
775	5082	1467
776	5088	1460
777	5095	1453
778	5102	1447
779	5109	1441
780	5115	1434
781	5121	1427
782	5128	1421
783	5134	1414
784	5141	1408
785	5147	1401
786	5154	1394
787	5160	1388
788	5167	1381
789	5173	1375
790	5179	1368
791	5186	1362
792	5192	1355
793	5199	1348
794	5205	1342
795	5212	1335
796	5218	1329
797	5225	1322
798	5231	1316
799	5238	1309
