iter	RMSE
0	21.81836532
1	20.63740227
2	19.61606229
3	18.71192426
4	17.92863175
5	17.23695018
6	16.62699669
7	16.10233525
8	15.64692466
9	15.25890883
10	14.88486728
11	14.58133844
12	14.30838513
13	14.07598901
14	13.81960507
15	13.61904719
16	13.44628864
17	13.25350629
18	13.10324931
19	12.99073994
20	12.86183808
21	12.77022144
22	12.65662929
23	12.5505553
24	12.46009562
25	12.38710289
26	12.29338754
27	12.22452235
28	12.16479836
29	12.09730717
30	12.05692255
31	12.00266372
32	11.94844433
33	11.91835057
34	11.89480129
35	11.86350254
36	11.83347605
37	11.79702893
38	11.75123644
39	11.72080735
40	11.69042702
41	11.6706193
42	11.6425133
43	11.61887579
44	11.59256385
45	11.57030517
46	11.54322413
47	11.51891458
48	11.49556417
49	11.46916768
50	11.44075203
51	11.42127607
52	11.40361885
53	11.38974987
54	11.36820329
55	11.34646702
56	11.31905614
57	11.30506932
58	11.28631293
59	11.27443205
60	11.25604468
61	11.24487751
62	11.23824353
63	11.21685628
64	11.20050425
65	11.17825287
66	11.16847245
67	11.15549838
68	11.1430034
69	11.1372706
70	11.12804398
71	11.10646962
72	11.09180977
73	11.06217921
74	11.05392528
75	11.04244317
76	11.02590702
77	11.00273194
78	10.98288771
79	10.97213599
80	10.94943254
81	10.93940173
82	10.92192515
83	10.91109937
84	10.89818374
85	10.8897763
86	10.88063466
87	10.8642434
88	10.85350234
89	10.83506886
90	10.82642654
91	10.80626059
92	10.79084901
93	10.77691806
94	10.77272108
95	10.75894545
96	10.74763898
97	10.73038233
98	10.71140383
99	10.69710235
100	10.67926261
101	10.66715938
102	10.65162324
103	10.64082553
104	10.62568172
105	10.61332963
106	10.58689603
107	10.57410224
108	10.55722301
109	10.54720552
110	10.53432969
111	10.52413369
112	10.51526982
113	10.49101558
114	10.47925481
115	10.4665781
116	10.45748271
117	10.44165439
118	10.42493268
119	10.41443757
120	10.39877342
121	10.38636839
122	10.37150923
123	10.35612255
124	10.34263955
125	10.3257864
126	10.31727297
127	10.30803359
128	10.29918214
129	10.28503414
130	10.27223477
131	10.2571858
132	10.24403444
133	10.23520382
134	10.22495659
135	10.21738699
136	10.19600371
137	10.18641868
138	10.17278428
139	10.15820634
140	10.14770318
141	10.13564752
142	10.12489517
143	10.11670444
144	10.10868871
145	10.09951395
146	10.091841
147	10.06784641
148	10.0628035
149	10.04920937
150	10.03725974
151	10.02347424
152	10.01479169
153	10.00337021
154	9.995289193
155	9.987415181
156	9.975516657
157	9.968068145
158	9.960684522
159	9.955538474
160	9.940580331
161	9.931996682
162	9.924217237
163	9.916542982
164	9.906156505
165	9.89487654
166	9.884055509
167	9.876839633
168	9.870430864
169	9.861732956
170	9.84493727
171	9.838912486
172	9.831816712
173	9.827091273
174	9.81423701
175	9.809080814
176	9.794712779
177	9.788163702
178	9.781164317
179	9.776351955
180	9.765013609
181	9.759193083
182	9.746660743
183	9.736971629
184	9.724038611
185	9.719804658
186	9.714403567
187	9.708744433
188	9.698780353
189	9.687609683
190	9.676821061
191	9.663784362
192	9.651760348
193	9.641943801
194	9.633531777
195	9.626560625
196	9.614395043
197	9.605100121
198	9.596250009
199	9.588566418
200	9.583017091
201	9.570285334
202	9.565828074
203	9.552423546
204	9.547674047
205	9.539788157
206	9.534438695
207	9.525534371
208	9.515554834
209	9.507857431
210	9.499015886
211	9.495821885
212	9.489673727
213	9.481905618
214	9.4744866
215	9.470660955
216	9.461661023
217	9.459636674
218	9.451649372
219	9.441028323
220	9.432939557
221	9.424602045
222	9.418920718
223	9.407463875
224	9.394954771
225	9.384222908
226	9.374693285
227	9.368171539
228	9.362286997
229	9.356996789
230	9.351344284
231	9.342173474
232	9.33182511
233	9.320861629
234	9.297365668
